espn_id,full_name,salary,position,team_id
14075,"D'Aundre Reed",4500,"?","JAC"
15278,"Derrick Shelby",4500,"DE","MIA"
14982,"Olivier Vernon",4500,"DE","MIA"
12417,"Cameron Wake",4500,"DE","MIA"
14856,"Isaako Aaitui",4500,"DT","MIA"
16398,"A.J. Francis",4500,"DT","MIA"
17184,"Anthony Johnson",4500,"DT","MIA"
17187,"Kamal Johnson",4500,"DT","MIA"
13288,"Earl Mitchell",4500,"DT","MIA"
13244,"Jared Odrick",4500,"DT","MIA"
17253,"Garrison Smith",4500,"DT","MIA"
5596,"Randy Starks",4500,"DT","MIA"
13103,"Dannell Ellerbe",4500,"LB","MIA"
14387,"Jonathan Freeny",4500,"LB","MIA"
15985,"Jelani Jenkins",4500,"LB","MIA"
17430,"Chris McCain",4500,"LB","MIA"
13287,"Koa Misi",4500,"LB","MIA"
10504,"Samson Satele",4500,"C","MIA"
16862,"Jordan Tripp",4500,"LB","MIA"
10927,"Jason Trusnik",4500,"LB","MIA"
11327,"Philip Wheeler",4500,"LB","MIA"
17291,"Andrew Wilson",4500,"LB","MIA"
16819,"Walt Aikens",4500,"CB","MIA"
15833,"Will Davis",4500,"CB","MIA"
9801,"Cortland Finnegan",4500,"CB","MIA"
10913,"Brent Grimes",4500,"CB","MIA"
15866,"Jamar Taylor",4500,"CB","MIA"
17491,"Kevin Fogg",4500,"DB","MIA"
15943,"Don Jones",4500,"SS","MIA"
16363,"Jordan Kovacs",4500,"SS","MIA"
12528,"Louis Delmas",4500,"FS","MIA"
13395,"Reshad Jones",4500,"FS","MIA"
14565,"Jake Rogers",4500,"PK","MIA"
15918,"Caleb Sturgis",4500,"PK","MIA"
10668,"Brandon Fields",4500,"P","MIA"
16812,"Tajh Boyd",4500,"QB","NYJ"
15407,"Matt Simms",4500,"QB","NYJ"
15864,"Geno Smith",4500,"QB","NYJ"
2549,"Michael Vick",4500,"QB","NYJ"
14055,"Alex Green",4500,"RB","NYJ"
13587,"Chris Ivory",4500,"RB","NYJ"
11258,"Chris Johnson",4500,"RB","NYJ"
14129,"Bilal Powell",4500,"RB","NYJ"
15111,"Daryl Richardson",4500,"RB","NYJ"
15973,"Tommy Bohanon",4500,"FB","NYJ"
13271,"Eric Decker",4500,"WR","NYJ"
16899,"Quincy Enunwa",4500,"WR","NYJ"
16811,"Shaquelle Evans",4500,"WR","NYJ"
14209,"Clyde Gates",4500,"WR","NYJ"
14910,"Stephen Hill",4500,"WR","NYJ"
14151,"Jeremy Kerley",4500,"WR","NYJ"
15397,"Saalim Hakim",4500,"WR","NYJ"
13621,"David Nelson",4500,"WR","NYJ"
14106,"Greg Salas",4500,"WR","NYJ"
16928,"Jalen Saunders",4500,"WR","NYJ"
16792,"Jace Amaro",4500,"TE","NYJ"
13555,"Jeff Cumberland",4500,"TE","NYJ"
16210,"Chris Pantale",4500,"TE","NYJ"
16418,"Zach Sudfeld",4500,"TE","NYJ"
9615,"Nick Mangold",4500,"C","NYJ"
12605,"Tanner Purdum",4500,"C","NYJ"
15972,"Oday Aboushi",4500,"OT","NYJ"
9590,"D'Brickashaw Ferguson",4500,"OT","NYJ"
11384,"Breno Giacomini",4500,"OT","NYJ"
16861,"Dakota Dozier",4500,"OT","NYJ"
14041,"Ben Ijalana",4500,"OT","NYJ"
17087,"Brent Qvale",4500,"OT","NYJ"
15969,"William Campbell",4500,"OG","NYJ"
9717,"Willie Colon",4500,"OG","NYJ"
14069,"Caleb Schlauderaff",4500,"OG","NYJ"
15879,"Brian Winters",4500,"OG","NYJ"
5552,"Jason Babin",4500,"DE","NYJ"
14057,"Kenrick Ellis",4500,"DE","NYJ"
15811,"Sheldon Richardson",4500,"DE","NYJ"
17093,"Zach Thompson",4500,"DE","NYJ"
13985,"Muhammad Wilkerson",4500,"DE","NYJ"
11920,"Leger Douzable",4500,"DT","NYJ"
16127,"T.J. Barnes",4500,"DT","NYJ"
15704,"Tevita Finau",4500,"DT","NYJ"
15380,"Damon Harrison",4500,"DT","NYJ"
10577,"Antwan Barnes",4500,"LB","NYJ"
14471,"Nick Bellore",4500,"LB","NYJ"
14934,"Quinton Coples",4500,"LB","NYJ"
13269,"Jermaine Cunningham",4500,"LB","NYJ"
14958,"Demario Davis",4500,"LB","NYJ"
16180,"Troy Davis",4500,"LB","NYJ"
13358,"A.J. Edds",4500,"LB","NYJ"
16858,"IK Enemkpali",4500,"LB","NYJ"
16897,"Jeremiah George",4500,"LB","NYJ"
10491,"David Harris",4500,"LB","NYJ"
13165,"Josh Mauga",4500,"LB","KC"
12105,"Garrett McIntyre",4500,"LB","NYJ"
4476,"Calvin Pace",4500,"LB","NYJ"
16834,"Trevor Reilly",4500,"LB","NYJ"
16957,"Brandon Dixon",4500,"CB","NYJ"
16805,"Dex McDougle",4500,"CB","NYJ"
15804,"Dee Milliner",4500,"CB","NYJ"
15117,"Tim Fugger",4500,"LB","NYJ"
9351,"Dimitri Patterson",4500,"CB","NYJ"
14510,"Darrin Walls",4500,"CB","NYJ"
13237,"Kyle Wilson",4500,"CB","NYJ"
15113,"Josh Bush",4500,"DB","NYJ"
14011,"Johnny Patrick",4500,"CB","NYJ"
14714,"LeQuan Lewis",4500,"","NE"
16206,"Rontez Miles",4500,"DB","NYJ"
12681,"Ellis Lankster",4500,"DB","NYJ"
9732,"Dawan Landry",4500,"SS","NYJ"
15061,"Antonio Allen",4500,"FS","NYJ"
14043,"Jaiquawn Jarrett",4500,"FS","NYJ"
16697,"Jeremy Reeves",4500,"DB","NYJ"
16729,"Calvin Pryor",4500,"FS","NYJ"
10621,"Nick Folk",4500,"PK","NYJ"
15616,"Ryan Quigley",4500,"P","NYJ"
2330,"Tom Brady",4500,"QB","NE"
